Date,Customer,Vch_No,Amount,Entity_Mean,Expected_Low,Expected_High,Deviation_%,Flag_Type,FY,Txn_Type
2024-06-19,A J PACKERS,Pur/62/24-25,39358.0,18312.0,0.0,28780.0,114.9,HIGH — unusually large,2024-25,Purchase
2025-03-31,PL.M. INDUSTRY,Pur/346/24-25,62980.0,40032.0,23856.0,54481.0,57.3,HIGH — unusually large,2024-25,Purchase
2024-11-06,Kaveri Markettokraft Pvt Ltd,Pur/177/24-25,380457.0,242202.0,168050.0,344358.0,57.1,HIGH — unusually large,2024-25,Purchase
2025-05-20,Wirex Enterprise,Pur/66/25-26,21468.0,14165.0,10187.0,18596.0,51.6,HIGH — unusually large,2025-26,Purchase
2025-07-09,PL.M. INDUSTRY,Pur/119/25-26,58106.0,40032.0,23856.0,54481.0,45.1,HIGH — unusually large,2025-26,Purchase
2026-01-10,MOGA INKS,Pur/328/25-26,15487.0,11270.0,10915.0,10915.0,37.4,HIGH — unusually large,2025-26,Purchase
2025-10-06,MOGA INKS,Pur/219/25-26,15488.0,11270.0,10915.0,10915.0,37.4,HIGH — unusually large,2025-26,Purchase
2025-04-19,MOGA INKS,Pur/19/25-26,15488.0,11270.0,10915.0,10915.0,37.4,HIGH — unusually large,2025-26,Purchase
2025-08-09,MOGA INKS,Pur/163/25-26,15488.0,11270.0,10915.0,10915.0,37.4,HIGH — unusually large,2025-26,Purchase
2024-07-16,MOGA INKS,Pur/86/24-25,15488.0,11270.0,10915.0,10915.0,37.4,HIGH — unusually large,2024-25,Purchase
2024-12-25,MOGA INKS,Pur/234/24-25,15488.0,11270.0,10915.0,10915.0,37.4,HIGH — unusually large,2024-25,Purchase
2025-03-04,MOGA INKS,Pur/340/24-25,15488.0,11270.0,10915.0,10915.0,37.4,HIGH — unusually large,2024-25,Purchase
2024-11-27,Wirex Enterprise,Pur/203/24-25,18888.0,14165.0,10187.0,18596.0,33.3,HIGH — unusually large,2024-25,Purchase
2024-04-08,MOGA INKS,Pur/7/24-25,12007.0,11270.0,10915.0,10915.0,6.5,HIGH — unusually large,2024-25,Purchase
2025-05-23,MOGA INKS,Pur/57/25-26,10030.0,11270.0,10915.0,10915.0,-11.0,LOW — unusually small,2025-26,Purchase
2024-09-09,MOGA INKS,Pur/125/24-25,9145.0,11270.0,10915.0,10915.0,-18.9,LOW — unusually small,2024-25,Purchase
2024-11-26,MOGA INKS,Pur/191/24-25,9145.0,11270.0,10915.0,10915.0,-18.9,LOW — unusually small,2024-25,Purchase
